,Medicine Name ,Medicine MF,Medicine MW,IUPAC Name,Compound CID ,Create Date
3019,Saprisartan; 146623-69-0; GR 138950; GR-138950; UNII-HS64NG1G69; ...,C25H22BrF3N4O4S,C25H22BrF3N4O4S,Isomeric SMILES: CCC1=NC(=C(N1CC2=CC3=C(C=C2)OC(=C3Br)C4=CC=CC=C4NS(=O)(=O)C(F)(F)F)C(=O)N)C5CC5,60921,  2005-08-08
3020,Lurtotecan; 149882-10-0; OSI-211; UNII-4J1L80T08I; 4J1L80T08I; ...,C28H30N4O6,C28H30N4O6,Isomeric SMILES: CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC6=C(C=C5N=C4C3=C2)OCCO6)CN7CCN(CC7)C)O,60956,  2005-08-08
3021,"PROHEPTAZINE; 77-14-5; UNII-S23189WW7E; S23189WW7E; 1H-Azepin-4-ol, hexahydro-1,3-dimethyl-4-phenyl-, propanoate (ester); ...",C17H25NO2,C17H25NO2,Isomeric SMILES: CCC(=O)OC1(CCCN(CC1C)C)C2=CC=CC=C2,60969,  2005-03-27
3022,CLOMIPHENE CITRATE; Clomifene citrate; 50-41-9; Clomid; Ikaclomine; ...,C32H36ClNO8,C32H36ClNO8,Isomeric SMILES: CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,60974,  2005-03-26
3023,HYDROXYPETHIDINE; Bemidone; Demidone; Oxipethidine; Oxydolantin; ...,C15H21NO3,C15H21NO3,Isomeric SMILES: CCOC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O,61120,  2005-03-27
3024,MORPHERIDINE; Morpheridine [INN:BAN:DCF]; Morpheridin; TA 1; 469-81-8; ...,C20H30N2O3,C20H30N2O3,Isomeric SMILES: CCOC(=O)C1(CCN(CC1)CCN2CCOCC2)C3=CC=CC=C3,61121,  2005-03-27
3025,ETOXERIDINE; Carbetidine; 469-82-9; UNII-RHW35E1G7E; Wy-2039; ...,C18H27NO4,C18H27NO4,Isomeric SMILES: CCOC(=O)C1(CCN(CC1)CCOCCO)C2=CC=CC=C2,61122,  2005-03-27
3026,FURETHIDINE; 2385-81-1; Ethyl 4-phenyl-1-(2-tetrahydrofurfuryloxyethyl)piperidine-4-carboxylate; Furethidinum; 1-(2-Tetrahydrofurfuryloxyethyl)-4-phenylpiperidine-4-carboxylic acid ethyl ester; ...,C21H31NO4,C21H31NO4,Isomeric SMILES: CCOC(=O)C1(CCN(CC1)CCOCC2CCCO2)C3=CC=CC=C3,61306,  2005-03-27
3027,Sodium molybdate; 7631-95-0; Disodium molybdate; Molybdate disodium; Sodium molybdate(VI); ...,MoNa2O4,MoNa2O4,Isomeric SMILES: [O-][Mo](=O)(=O)[O-].[Na+].[Na+],61424,  2005-08-08
3028,Desmethylprodine; 13147-09-6; 3-Demethylprodine; 1-Methyl-4-phenyl-4-propionoxypiperidine; UNII-07SGC963IR; ...,C15H21NO2,C15H21NO2,Isomeric SMILES: CCC(=O)OC1(CCN(CC1)C)C2=CC=CC=C2,61583,  2005-06-01
3029,BEZITRAMIDE; Burgodin; Benzitramide; 15301-48-1; Bezitramide [INN:BAN:DCF]; ...,C31H32N4O2,C31H32N4O2,Isomeric SMILES: CCC(=O)N1C2=CC=CC=C2N(C1=O)C3CCN(CC3)CCC(C#N)(C4=CC=CC=C4)C5=CC=CC=C5,61791,  2005-03-28
3030,FENPROPOREX; Desobesi; 16397-28-7; 3-(1-phenylpropan-2-ylamino)propanenitrile; 3-[(1-METHYL-2-PHENYLETHYL)AMINO]PROPIONONITRILE; ...,C12H16N2,C12H16N2,Isomeric SMILES: CC(CC1=CC=CC=C1)NCCC#N,61810,  2005-03-27
3031,"MANNITOL HEXANITRATE; D-Mannitol, hexanitrate; 15825-70-4; UNII-99AU28W1G9; Hexanitrate of D-mannitol; ...",C6H8N6O18,C6H8N6O18,Isomeric SMILES: C([C@H]([C@H]([C@@H]([C@@H](CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],61818,  2005-08-08
3032,Mefentanyl; 3-METHYLFENTANYL; 3-MF; 42045-86-3; N-(3-Methyl-1-(2-phenylethyl)-4-piperidinyl)-N-phenylpropanamide; ...,C23H30N2O,C23H30N2O,Isomeric SMILES: CCC(=O)N(C1CCN(CC1C)CCC2=CC=CC=C2)C3=CC=CC=C3,61996,  2005-03-27
3033,"Brolamfetamine; 2,5-Dimethoxy-4-bromoamphetamine; 4-Bromo-2,5-dimethoxyamphetamine; 64638-07-9; 1-(4-bromo-2,5-dimethoxyphenyl)propan-2-amine; ...",C11H16BrNO2,C11H16BrNO2,Isomeric SMILES: CC(CC1=CC(=C(C=C1OC)Br)OC)N,62065,  2005-03-27
3034,55406-53-6; 3-iodoprop-2-yn-1-yl butylcarbamate; Iodopropynyl butylcarbamate; Iodocarb; 3-Iodo-2-propynyl butylcarbamate; ...,C8H12INO2,C8H12INO2,Isomeric SMILES: CCCCNC(=O)OCC#CI,62097,  2005-03-27
3035,CARFENTANIL; Carfentanyl; 59708-52-0; Carfentanila; Carfentanilum; ...,C24H30N2O3,C24H30N2O3,Isomeric SMILES: CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CC=C3)C(=O)OC,62156,  2005-03-28
3036,Cathinone; Norephedrone; d-Cathinone; 71031-15-7; l-Cathinone; ...,C9H11NO,C9H11NO,Isomeric SMILES: C[C@@H](C(=O)C1=CC=CC=C1)N,62258,  2005-06-24
3037,"DIAZOLIDINYL UREA; 78491-02-8; Diazolidinylurea; 1-(1,3-Bis(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl)-1,3-bis(hydroxymethyl)urea; N,N'-Bis(hydroxymethyl) urea; ...",C8H14N4O7,C8H14N4O7,Isomeric SMILES: C(NC(=O)N(CO)C1C(=O)N(C(=O)N1CO)CO)O,62277,  2005-08-08
3038,ALPHA-METHYLFENTANYL; 79704-88-4; N-phenyl-N-[1-(1-phenylpropan-2-yl)piperidin-4-yl]propanamide; N-(1-(1-Methyl-2-phenylethyl)-4-piperidinyl)-N-phenylpropanamide; NSC167733; ...,C23H30N2O,C23H30N2O,Isomeric SMILES: CCC(=O)N(C1CCN(CC1)C(C)CC2=CC=CC=C2)C3=CC=CC=C3,62281,  2005-03-26
3039,Diampromide; Diampromid; 552-25-0; N-[2-(Methylphenethylamino)propyl]propionanilide; N-(2-(Methylphenethylamino)propyl)propionanilide; ...,C21H28N2O,C21H28N2O,Isomeric SMILES: CCC(=O)N(CC(C)N(C)CCC1=CC=CC=C1)C2=CC=CC=C2,62370,  2005-03-27
3040,FENPROPOREX; Desobesi; 16397-28-7; 3-(1-phenylpropan-2-ylamino)propanenitrile; 3-[(1-METHYL-2-PHENYLETHYL)AMINO]PROPIONONITRILE; ...,C12H16N2,C12H16N2,Isomeric SMILES: CC(CC1=CC=CC=C1)NCCC#N,61810,  2005-03-27
3041,"MANNITOL HEXANITRATE; D-Mannitol, hexanitrate; 15825-70-4; UNII-99AU28W1G9; Hexanitrate of D-mannitol; ...",C6H8N6O18,C6H8N6O18,Isomeric SMILES: C([C@H]([C@H]([C@@H]([C@@H](CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],61818,  2005-08-08
3042,Mefentanyl; 3-METHYLFENTANYL; 3-MF; 42045-86-3; N-(3-Methyl-1-(2-phenylethyl)-4-piperidinyl)-N-phenylpropanamide; ...,C23H30N2O,C23H30N2O,Isomeric SMILES: CCC(=O)N(C1CCN(CC1C)CCC2=CC=CC=C2)C3=CC=CC=C3,61996,  2005-03-27
3043,"Brolamfetamine; 2,5-Dimethoxy-4-bromoamphetamine; 4-Bromo-2,5-dimethoxyamphetamine; 64638-07-9; 1-(4-bromo-2,5-dimethoxyphenyl)propan-2-amine; ...",C11H16BrNO2,C11H16BrNO2,Isomeric SMILES: CC(CC1=CC(=C(C=C1OC)Br)OC)N,62065,  2005-03-27
3044,55406-53-6; 3-iodoprop-2-yn-1-yl butylcarbamate; Iodopropynyl butylcarbamate; Iodocarb; 3-Iodo-2-propynyl butylcarbamate; ...,C8H12INO2,C8H12INO2,Isomeric SMILES: CCCCNC(=O)OCC#CI,62097,  2005-03-27
3045,CARFENTANIL; Carfentanyl; 59708-52-0; Carfentanila; Carfentanilum; ...,C24H30N2O3,C24H30N2O3,Isomeric SMILES: CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CC=C3)C(=O)OC,62156,  2005-03-28
3046,Cathinone; Norephedrone; d-Cathinone; 71031-15-7; l-Cathinone; ...,C9H11NO,C9H11NO,Isomeric SMILES: C[C@@H](C(=O)C1=CC=CC=C1)N,62258,  2005-06-24
3047,"DIAZOLIDINYL UREA; 78491-02-8; Diazolidinylurea; 1-(1,3-Bis(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl)-1,3-bis(hydroxymethyl)urea; N,N'-Bis(hydroxymethyl) urea; ...",C8H14N4O7,C8H14N4O7,Isomeric SMILES: C(NC(=O)N(CO)C1C(=O)N(C(=O)N1CO)CO)O,62277,  2005-08-08
3048,ALPHA-METHYLFENTANYL; 79704-88-4; N-phenyl-N-[1-(1-phenylpropan-2-yl)piperidin-4-yl]propanamide; N-(1-(1-Methyl-2-phenylethyl)-4-piperidinyl)-N-phenylpropanamide; NSC167733; ...,C23H30N2O,C23H30N2O,Isomeric SMILES: CCC(=O)N(C1CCN(CC1)C(C)CC2=CC=CC=C2)C3=CC=CC=C3,62281,  2005-03-26
3049,Diampromide; Diampromid; 552-25-0; N-[2-(Methylphenethylamino)propyl]propionanilide; N-(2-(Methylphenethylamino)propyl)propionanilide; ...,C21H28N2O,C21H28N2O,Isomeric SMILES: CCC(=O)N(CC(C)N(C)CCC1=CC=CC=C1)C2=CC=CC=C2,62370,  2005-03-27
3050,"2,5-Dimethoxyamphetamine; 2801-68-5; 1-(2,5-dimethoxyphenyl)propan-2-amine; 1-(2,5-Dimethoxyphenyl)-2-aminopropane; Benzeneethanamine, 2,5-dimethoxy-alpha-methyl-; ...",C11H17NO2,C11H17NO2,Isomeric SMILES: CC(CC1=C(C=CC(=C1)OC)OC)N,62787,  2005-03-26
3051,COLESTIPOL; Alseroxylon; Cholestabyl; 50925-79-6; 26658-42-4; ...,C11H28ClN5O,C11H28ClN5O,Isomeric SMILES: C1C(O1)CCl.C(CNCCNCCNCCN)N,62816,  2005-03-26
3052,Azidamfenicol; Azidoamphenicol; 13838-08-9; Azidamfenicol [INN:BAN:DCF]; Bay f 4797; ...,C11H13N5O5,C11H13N5O5,Isomeric SMILES: C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)CN=[N+]=[N-])O)[N+](=O)[O-],62858,  2005-08-08
3053,Pipotiazine; 39860-99-6; Pipothiazine; Piportil; Pipotiazinum [INN-Latin]; ...,C24H33N3O3S2,C24H33N3O3S2,Isomeric SMILES: CN(C)S(=O)(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO,62867,  2005-03-27
3054,Amoxicillin trihydrate; 61336-70-7; Larotid; Polymox; Trimox; ...,C16H25N3O8S,C16H25N3O8S,Isomeric SMILES: CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,62883,  2005-08-08
3055,Cisatracurium besylate; 96946-42-8; Nimbex; Cisatracurium besilate; Cisatracurium (besylate); ...,C65H82N2O18S2,C65H82N2O18S2,Isomeric SMILES: C[N@@+]1(CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N@+]4(CCC5=CC(=C(C=C5[C@H]4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-],62886,  2005-06-24
3056,"S-(fluoromethyl) (6S,9R,10S,11S,13S,14S,16R,17R)-6,9-difluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthrene-17-carbothioate; 90566-53-3; S-(fluoromethyl) (6a,8x,11b,16a,17a)-6,9-difluoro-11,17-dihydroxy-16-methyl-3-oxoandrosta-1,4-diene-17-carbothioate",C22H27F3O4S,C22H27F3O4S,Isomeric SMILES: C[C@@H]1C[C@H]2C3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)O)C)O)F)C)F,62924,  2005-06-24
3057,"ethinylestradiol & norethisterone; ethinylestradiol + norethisterone; ethinylestradiol / norethisterone; ethinylestradiol and norethisterone; ...; norethindrone acetate, ethinyl estradiol, ferrous fumarate drug combination; ...",C40H50O4,C40H50O4,Isomeric SMILES: C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,62925,  2005-08-08
3058,"Ciprofloxacin hydrochloride; 93107-08-5; Ciprofloxacin HCl; 86483-48-9; 1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid hydrochloride; ...",C17H19ClFN3O3,C17H19ClFN3O3,Isomeric SMILES: C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.Cl,62999,  2005-03-26
3059,Methylprednisolone aceponate; 86401-95-8; Advantan; UNII-ET54W9J4U2; SH-440; ...,C27H36O7,C27H36O7,Isomeric SMILES: CCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2C[C@@H](C4=CC(=O)C=C[C@]34C)C)O)C)C(=O)COC(=O)C,63019,  2005-08-08
3060,dexamethasone palmitate; 14899-36-6; Dexamethasone 21-palmitate; UNII-601XWN7060; Limethason; ...,C38H59FO6,C38H59FO6,Isomeric SMILES: CCCCCCCCCCCCCCCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)O,63044,  2005-06-24
3061,"Dexamethasone dipropionate; Methaderm; 55541-30-5; Dexamethasone 17,21-dipropionate; ST12; ...",C28H37FO7,C28H37FO7,Isomeric SMILES: CCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)OC(=O)CC,63049,  2005-06-24
3062,"Caffeine benzoate; UNII-C2154V12SE; 5743-17-9; caffeine, sodium benzoate drug combination; C2154V12SE; ...",C15H16N4O4,C15H16N4O4,Isomeric SMILES: CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C=C1)C(=O)O,64120,  2005-08-08
3063,"Fozivudine tidoxil; Fozivudine; 141790-23-0; BM 21.1290; [(2S,3S,5R)-3-azido-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl (2-decoxy-3-dodecylsulfanylpropyl) hydrogen phosphate; ...",C35H64N5O8PS,C35H64N5O8PS,Isomeric SMILES: CCCCCCCCCCCCSCC(COP(=O)(O)OC[C@@H]1[C@H](C[C@@H](O1)N2C=C(C(=O)NC2=O)C)N=[N+]=[N-])OCCCCCCCCCC,64140,  2005-08-08
3064,Lobradimil; RMP 7;Cereport; RMP-7; NSC724318; NSC-724318; ...,C49H75N15O12S,C49H75N15O12S,Isomeric SMILES: COC1=CC=C(C=C1)CC(CNC(CCCN=C(N)N)C(=O)O)NC(=O)C2CCCN2C(=O)C(CO)NC(=O)C(CC3=CC=CS3)NC(=O)CNC(=O)C4CC(CN4C(=O)C5CCCN5C(=O)C(CCCN=C(N)N)N)O,64145,  2005-03-26
3065,Rolofylline; 136199-02-5; KW 3902; KW-3902; MK-7418; ...,C20H28N4O2,C20H28N4O2,Isomeric SMILES: CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C34CC5CC(C3)CC4C5,64627,  2005-08-08
3066,Tubadil; Delacurarine; Tubocurarine chloride; 57-94-3; Tubarine; ...,C37H42Cl2N2O6,C37H42Cl2N2O6,Isomeric SMILES: C[NH+]1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC.[Cl-].[Cl-],64645,  2005-06-24
3067,6398-98-7; Amodiaquin dihydrochloride dihydrate; Amodiaquine hydrochloride; Amodiaquine dihydrochloride dihydrate; Amodiaquine HCl; ...,C20H28Cl3N3O3,C20H28Cl3N3O3,Isomeric SMILES: CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.O.O.Cl.Cl,64646,  2005-08-08
3068,Aluminum phosphate; 7784-30-7; Aluminum monophosphate; Monoaluminum phosphate; ALUMINIUM PHOSPHATE; ...,AlO4P,AlO4P,Isomeric SMILES: [O-]P(=O)([O-])[O-].[Al+3],64655,  2005-08-08
3069,"Lonox; 55840-97-6; ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenylpiperidine-4-carboxylate;(8-methyl-8-azabicyclo[3.2.1]octan-3-yl) 3-hydroxy-2-phenylpropanoate;sulfuric acid;hydrochloride; LOGEN; ...; Atropine sulfate-diphenoxylate hydrochloride drug combination; ...",C47H58ClN3O9S,C47H58ClN3O9S,Isomeric SMILES: CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.OS(=O)(=O)O.Cl,64662,  2005-06-24
3070,"Borneol; Isoborneol; 1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol; 507-70-0; 10385-78-1; ...",C10H18O,C10H18O,Isomeric SMILES: CC1(C2CCC1(C(C2)O)C)C,64685,  2004-09-16
3071,beta-D-glucose; beta-D-glucopyranose; 492-61-5; glucoside; Curdlan; ...,C6H12O6,C6H12O6,Isomeric SMILES: C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,64689,  2004-09-16
3072,hyoscyamine; L-Hyoscyamine; Levsin; 1-Hyoscyamine; Hyoscyamine (Daturine); ...,C17H23NO3,C17H23NO3,Isomeric SMILES: CN1C2CCC1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3,64692,  2005-08-08
3073,Lincomycin hydrochloride; LINCOMYCIN HCL; 859-18-7; Frademicina; 7179-49-9; ...,C18H35ClN2O6S,C18H35ClN2O6S,Isomeric SMILES: CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@@H](C)O.Cl,64710,  2005-08-08
3074,Fenoprofen calcium dihydrate; Fenoprofen calcium; 53746-45-5; Fenoprofen calcium hydrate; 71720-56-4; ...,C30H30CaO8,C30H30CaO8,Isomeric SMILES: CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].O.O.[Ca+2],64747,  2005-06-24
3075,"Desmopressin acetate; Desmopressin (Acetate); 62288-83-9; Vasopressin, 1-(3-mercaptopropanoic acid)-8-D-arginine-,monoacetate (salt); SCHEMBL1172203; ...",C48H68N14O14S2,C48H68N14O14S2,Isomeric SMILES: CC(=O)O.C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,64758,  2005-06-24
3076,"62357-86-2; Minirinmelt (TN); Stimate (TN); N-[1-[(2-azanyl-2-oxidanylidene-ethyl)amino]-5-[bis(azanyl)methylideneamino]-1-oxidanylidene-pentan-2-yl]-1-[[7-(2-azanyl-2-oxidanylidene-ethyl)-10-(3-azanyl-3-oxidanylidene-propyl)-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentakis(oxidanylidene)-13-(phe; NCGC00181133-01; ...",C48H74N14O17S2,C48H74N14O17S2,Isomeric SMILES: CC(=O)O.C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N.O.O.O,64759,  2005-06-24
3077,125494-59-9; Sibutramine hydrochloride monohydrate; Meridia; Reductil; Sibutramine hydrochloride hydrate; ...,C17H29Cl2NO,C17H29Cl2NO,Isomeric SMILES: CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C.O.Cl,64765,  2005-08-08
3078,Spectinomycin hydrochloride; Spectinomycin HCl; 22193-75-5; UNII-HL7KC2YV22; 22189-32-8; ...,C14H25ClN2O7,C14H25ClN2O7,Isomeric SMILES: C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O.Cl,64769,  2005-08-08
3079,TIROFIBAN HYDROCHLORIDE; 142373-60-2; Tirofiban HCl; Tirofiban (hydrochloride); UNII-IKE1P4X57J; ...,C22H37ClN2O5S,C22H37ClN2O5S,Isomeric SMILES: CCCCS(=O)(=O)N[C@@H](CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O.Cl,64781,  2005-06-24
3080,"Borneol; Isoborneol; 1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol; 507-70-0; 10385-78-1; ...",C10H18O,C10H18O,Isomeric SMILES: CC1(C2CCC1(C(C2)O)C)C,64685,  2004-09-16
3081,beta-D-glucose; beta-D-glucopyranose; 492-61-5; glucoside; Curdlan; ...,C6H12O6,C6H12O6,Isomeric SMILES: C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,64689,  2004-09-16
3082,hyoscyamine; L-Hyoscyamine; Levsin; 1-Hyoscyamine; Hyoscyamine (Daturine); ...,C17H23NO3,C17H23NO3,Isomeric SMILES: CN1C2CCC1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3,64692,  2005-08-08
3083,Lincomycin hydrochloride; LINCOMYCIN HCL; 859-18-7; Frademicina; 7179-49-9; ...,C18H35ClN2O6S,C18H35ClN2O6S,Isomeric SMILES: CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@@H](C)O.Cl,64710,  2005-08-08
3084,Fenoprofen calcium dihydrate; Fenoprofen calcium; 53746-45-5; Fenoprofen calcium hydrate; 71720-56-4; ...,C30H30CaO8,C30H30CaO8,Isomeric SMILES: CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].O.O.[Ca+2],64747,  2005-06-24
3085,"Desmopressin acetate; Desmopressin (Acetate); 62288-83-9; Vasopressin, 1-(3-mercaptopropanoic acid)-8-D-arginine-,monoacetate (salt); SCHEMBL1172203; ...",C48H68N14O14S2,C48H68N14O14S2,Isomeric SMILES: CC(=O)O.C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,64758,  2005-06-24
3086,"62357-86-2; Minirinmelt (TN); Stimate (TN); N-[1-[(2-azanyl-2-oxidanylidene-ethyl)amino]-5-[bis(azanyl)methylideneamino]-1-oxidanylidene-pentan-2-yl]-1-[[7-(2-azanyl-2-oxidanylidene-ethyl)-10-(3-azanyl-3-oxidanylidene-propyl)-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentakis(oxidanylidene)-13-(phe; NCGC00181133-01; ...",C48H74N14O17S2,C48H74N14O17S2,Isomeric SMILES: CC(=O)O.C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N.O.O.O,64759,  2005-06-24
3087,125494-59-9; Sibutramine hydrochloride monohydrate; Meridia; Reductil; Sibutramine hydrochloride hydrate; ...,C17H29Cl2NO,C17H29Cl2NO,Isomeric SMILES: CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C.O.Cl,64765,  2005-08-08
3088,Spectinomycin hydrochloride; Spectinomycin HCl; 22193-75-5; UNII-HL7KC2YV22; 22189-32-8; ...,C14H25ClN2O7,C14H25ClN2O7,Isomeric SMILES: C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O.Cl,64769,  2005-08-08
3089,TIROFIBAN HYDROCHLORIDE; 142373-60-2; Tirofiban HCl; Tirofiban (hydrochloride); UNII-IKE1P4X57J; ...,C22H37ClN2O5S,C22H37ClN2O5S,Isomeric SMILES: CCCCS(=O)(=O)N[C@@H](CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O.Cl,64781,  2005-06-24
3090,21312-10-7; Acetylsulfamethoxazole; N4-Acetylsulfamethoxazole; N-(4-(N-(5-Methylisoxazol-3-yl)sulfamoyl)phenyl)acetamide; N-Acetyl sulfamethoxazole; ...,C12H13N3O4S,C12H13N3O4S,Isomeric SMILES: CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C,65280,  2005-03-27
3091,Baciguent; Fortracin; Bacitracin A; Solu-Tracin 50; 22601-59-8; ...,C66H103N17O16S,C66H103N17O16S,Isomeric SMILES: CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4,65281,  2005-03-26
3092,"Ephedrine hydrochloride; 50-98-6; (-)-Ephedrine hydrochloride; L-Ephedrine hydrochloride; ...; Ephedrine hydrochloride, Drug Precursor, European Pharmacopoeia (EP) Reference Standard",C10H16ClNO,C10H16ClNO,Isomeric SMILES: C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.Cl,65326,  2005-06-24
3093,PIPECURONIUM BROMIDE; 52212-02-9; Pipecurium bromide; UNII-R6ZTY81RE1; RGH-1106; ...,C35H62Br2N4O4,C35H62Br2N4O4,Isomeric SMILES: CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CC[N+](CC4)(C)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)N6CC[N+](CC6)(C)C)C.[Br-].[Br-],65332,  2005-06-24
